CodInst,Data,NomeInstituicao,DataInicioAtividade,Tcb,Td,Tc,SegmentoTb,Atividade,Uf,Municipio,Sr,CodConglomeradoFinanceiro,CodConglomeradoPrudencial,CnpjInstituicaoLider,Situacao
05222094,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PIRACANJUBA LTDA. - SICOOB CERRADO,200302,B3S,I,2,Cooperativa de Crédito,Crédito rural,GO,Piracanjuba,S5,,,,A
04181542,2025-12-01,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PITANGUI E REGIAO LTDA. - SICOOB CREDPIT,200103,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,MG,Pitangui,S5,,,,A
09033698,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE RIO VERDE E REGIÃO LTDA.,200709,B3S,I,2,Cooperativa de Crédito,Crédito misto,GO,Rio Verde,S5,,,,A
02137018,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE RORAIMA LTDA.,199709,B3S,I,2,Cooperativa de Crédito,Crédito misto,RR,Boa Vista,S5,,,,I
73422792,2025-12-01,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE RUBIATABA E REGIAO LTDA,199309,B3S,I,2,Cooperativa de Crédito,Crédito misto,GO,Rubiataba,S5,,,,A
06910457,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTA CRUZ DAS PALMEIRAS E REGIÃO,200408,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,SP,Santa Cruz das Palmeiras,S5,,,,A
41707258,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTO ANTÔNIO DO MONTE LTDA.   SICOOB CREDIMONTE,199202,B3S,I,2,Cooperativa de Crédito,Crédito misto,MG,Santo Antônio do Monte,S5,,,,A
41683228,2025-12-01,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE SAO GONÇALO DO PARA LTDA - SICOOB CREDISAOGONÇALO,199112,B3S,I,2,Cooperativa de Crédito,,MG,São Gonçalo do Pará,S5,,,,I
02833202,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE VITÓRIA DA CONQUISTA,199801,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,BA,Vitória da Conquista,S5,,,,A
00912488,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO E MÉDIO SÃO FRANCISCO LTDA - SICOOB SÃO FRANCISCO.,199512,B3S,I,2,Cooperativa de Crédito,,MG,Morada Nova de Minas,,,,,I
41805003,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO SÃO FRANCISCO LTDA.,199203,B3S,I,2,Cooperativa de Crédito,Crédito misto,MG,Piumhi,S5,,,,A
16779741,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO VALE DO ITAJAÍ - VIACREDI ALTO VALE,201208,B3S,I,2,Cooperativa de Crédito,Mútuo com financiamento relevante,SC,Ibirama,S5,,,,A
00694877,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO BRASIL CENTRAL LTDA. - SICOOB EXECUTIVO,198302,B3S,I,2,Cooperativa de Crédito,Mútuo PF com conta corrente,DF,Brasília,S5,,,,A
03730508,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO GOIANO LTDA.,200005,B3S,I,2,Cooperativa de Crédito,,GO,Goiânia,S5,,,,I
02173447,2025-12-01,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO CENTRO NORDESTE MINEIRO LTDA - SICOOB CREDICENM,199711,B3S,I,2,Cooperativa de Crédito,Atípicas,MG,Guanhães,S5,,,,A
02282709,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE BRASILEIRO,199801,B3S,I,2,Cooperativa de Crédito,Crédito misto,GO,Anápolis,S5,,,,A
03326437,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE DOS ESTADOS DE MATO GROSSO E MATO GROSSO DO SUL - SICOOB UNIÃO MT/MS,199908,B3S,I,2,Cooperativa de Crédito,Crédito misto,MT,Cuiabá,S5,,,,A
37497245,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO OESTE PANTANEIRO - SICOOB FEDERAL,199308,B3S,I,2,Cooperativa de Crédito,,MT,Cuiabá,,,,,I
04642801,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL DA BAHIA LTDA - SICOOB CENTRO SUL,200205,B3S,I,2,Cooperativa de Crédito,,BA,Jequié,,,,,I
10319386,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL DE MATO GROSSO DO SUL - SICOOB CENTRO SUL MS,200811,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,MS,Dourados,S5,,,,A
02015588,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL RONDONIENSE - SICOOB CREDIP.,199711,B3S,I,2,Cooperativa de Crédito,Crédito misto,RO,Pimenta Bueno,S5,,,,A
33579731,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO-SUL GOIANO LTDA,199001,B3S,I,2,Cooperativa de Crédito,Crédito misto,GO,Morrinhos,S5,,,,A
03941182,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CIRCUITO DAS ÁGUAS - SICOOB CIRCUITO DAS ÁGUAS,200104,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,SP,Águas de Lindóia,S5,,,,A
04406371,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE GOIÁS,200108,B3S,I,2,Cooperativa de Crédito,Crédito misto,GO,Goiânia,S5,,,,A
10262276,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE SÃO PAULO - SICOOB PAULISTA,200808,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,SP,Presidente Prudente,S5,,,,A
01608685,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DO ACRE LTDA.,199705,B3S,I,2,Cooperativa de Crédito,Crédito misto,AC,Rio Branco,S5,,,,A
